ANNEE;SEXE;AGE;POP
2025;M;0;316908
2025;M;1;325973
2025;M;2;349315
2025;M;3;361362
2025;M;4;363329
2025;M;5;377847
2025;M;6;383200
2025;M;7;391367
2025;M;8;402437
2025;M;9;413585
2025;M;10;423748
2025;M;11;427731
2025;M;12;435137
2025;M;13;437627
2025;M;14;451104
2025;M;15;448733
2025;M;16;452518
2025;M;17;444315
2025;M;18;443983
2025;M;19;424615
2025;M;20;412004
2025;M;21;398158
2025;M;22;399467
2025;M;23;404039
2025;M;24;409823
2025;M;25;390580
2025;M;26;388291
2025;M;27;386532
2025;M;28;387772
2025;M;29;389836
2025;M;30;382515
2025;M;31;386436
2025;M;32;403507
2025;M;33;406906
2025;M;34;419834
2025;M;35;417227
2025;M;36;421683
2025;M;37;419891
2025;M;38;423540
2025;M;39;422136
2025;M;40;414104
2025;M;41;410274
2025;M;42;432053
2025;M;43;433545
2025;M;44;440495
2025;M;45;415601
2025;M;46;408858
2025;M;47;409855
2025;M;48;398456
2025;M;49;409652
2025;M;50;429922
2025;M;51;447613
2025;M;52;458818
2025;M;53;452792
2025;M;54;443360
2025;M;55;433966
2025;M;56;427844
2025;M;57;426715
2025;M;58;435157
2025;M;59;433717
2025;M;60;435792
2025;M;61;424462
2025;M;62;408392
2025;M;63;404868
2025;M;64;399313
2025;M;65;392225
2025;M;66;377196
2025;M;67;370883
2025;M;68;361489
2025;M;69;353307
2025;M;70;348881
2025;M;71;336224
2025;M;72;336530
2025;M;73;324552
2025;M;74;332465
2025;M;75;321348
2025;M;76;314166
2025;M;77;299512
2025;M;78;275164
2025;M;79;200712
2025;M;80;188625
2025;M;81;177228
2025;M;82;157003
2025;M;83;132145
2025;M;84;128737
2025;M;85;123919
2025;M;86;112606
2025;M;87;100608
2025;M;88;89470
2025;M;89;74946
2025;M;90;65218
2025;M;91;51924
2025;M;92;43418
2025;M;93;33989
2025;M;94;24631
2025;M;95;16935
2025;M;96;11850
2025;M;97;7551
2025;M;98;5225
2025;M;99;7894
2025;F;0;302614
2025;F;1;311539
2025;F;2;333799
2025;F;3;345101
2025;F;4;347606
2025;F;5;359218
2025;F;6;364718
2025;F;7;372783
2025;F;8;381721
2025;F;9;392377
2025;F;10;404340
2025;F;11;407389
2025;F;12;415859
2025;F;13;417904
2025;F;14;429268
2025;F;15;423965
2025;F;16;423544
2025;F;17;416445
2025;F;18;412837
2025;F;19;396206
2025;F;20;386381
2025;F;21;378458
2025;F;22;383867
2025;F;23;389803
2025;F;24;400084
2025;F;25;383561
2025;F;26;388728
2025;F;27;385531
2025;F;28;392532
2025;F;29;394568
2025;F;30;393641
2025;F;31;395821
2025;F;32;416746
2025;F;33;421449
2025;F;34;432326
2025;F;35;432590
2025;F;36;439922
2025;F;37;442109
2025;F;38;445530
2025;F;39;444472
2025;F;40;438779
2025;F;41;433100
2025;F;42;453292
2025;F;43;454292
2025;F;44;461509
2025;F;45;432202
2025;F;46;421162
2025;F;47;419524
2025;F;48;405953
2025;F;49;417079
2025;F;50;436676
2025;F;51;458125
2025;F;52;466721
2025;F;53;465805
2025;F;54;455993
2025;F;55;451094
2025;F;56;446642
2025;F;57;444020
2025;F;58;453863
2025;F;59;455091
2025;F;60;460230
2025;F;61;454586
2025;F;62;437733
2025;F;63;435179
2025;F;64;434314
2025;F;65;430110
2025;F;66;421087
2025;F;67;417975
2025;F;68;414428
2025;F;69;409316
2025;F;70;404262
2025;F;71;396736
2025;F;72;402679
2025;F;73;388796
2025;F;74;398218
2025;F;75;392543
2025;F;76;380909
2025;F;77;370104
2025;F;78;344579
2025;F;79;255569
2025;F;80;245143
2025;F;81;234406
2025;F;82;213119
2025;F;83;185068
2025;F;84;187565
2025;F;85;191612
2025;F;86;178995
2025;F;87;167229
2025;F;88;158213
2025;F;89;143454
2025;F;90;131619
2025;F;91;113942
2025;F;92;103180
2025;F;93;86505
2025;F;94;70537
2025;F;95;52561
2025;F;96;41072
2025;F;97;29852
2025;F;98;22099
2025;F;99;42607
